"MABP" "CBFV" "nu" "cost" "train.cor" "test.cor" "fold"
"1" 7 3 0.6 10000 0.9772 0.615067310582307 1
"2" 7 3 0.5 1024 0.9773 0.612304130431518 1
"3" 7 3 0.5 512 0.9774 0.612302989225249 1
"4" 7 3 0.5 256 0.9773 0.610808065735883 1
"5" 6 3 0.5 1024 0.9774 0.610370492166954 1
"6" 6 3 0.5 512 0.9774 0.610204761413176 1
"7" 7 3 0.7 10000 0.977 0.609499901537153 1
"8" 7 3 0.5 128 0.9774 0.609221863911422 1
"9" 6 3 0.5 256 0.9774 0.608510030454683 1
"10" 7 2 0.5 10000 0.975 0.608361438258847 1
"11" 6 3 0.5 10000 0.9773 0.607150860917806 1
"12" 8 3 0.5 10000 0.9775 0.606630748059234 1
"13" 7 3 0.6 64 0.9774 0.605464725082301 1
"14" 5 1 0.1 8 0.9181 0.60507094649188 1
"15" 7 3 0.6 128 0.9774 0.605006949933518 1
"16" 3 1 0.1 16 0.9187 0.604341740737553 1
"17" 7 3 0.6 32 0.9774 0.604333322540797 1
"18" 8 3 0.7 64 0.9772 0.602700754185402 1
"19" 7 1 0.1 16 0.9176 0.60250423741344 1
"20" 8 3 0.6 32 0.9774 0.602010909104424 1
"21" 4 1 0.1 16 0.9185 0.600858939287083 1
"22" 8 3 0.6 64 0.9774 0.600582225670491 1
"23" 8 3 0.5 1024 0.9774 0.600547144377434 1
"24" 7 3 0.6 256 0.9774 0.600489600356285 1
"25" 8 3 0.6 10000 0.9772 0.600428014671405 1
"26" 6 3 0.4 1024 0.9776 0.600153336408754 1
"27" 8 3 0.6 512 0.9773 0.600091689797351 1
"28" 8 3 0.6 1024 0.9773 0.600057028632158 1
"29" 8 3 0.5 256 0.9774 0.599936620490029 1
"30" 6 3 0.4 512 0.9776 0.599706859881684 1
"31" 8 2 0.6 10000 0.975 0.599633340113422 1
"32" 8 3 0.5 512 0.9774 0.599408484184085 1
"33" 8 2 0.6 128 0.9752 0.599264559162998 1
"34" 7 1 0.1 64 0.9171 0.599231690670851 1
"35" 6 3 0.6 512 0.9774 0.599078668295128 1
"36" 8 3 0.6 16 0.977 0.598955053636538 1
"37" 8 2 0.6 512 0.9752 0.59882019350103 1
"38" 8 3 0.4 1024 0.9774 0.598818534478972 1
"39" 7 3 0.6 512 0.9774 0.598570102831847 1
"40" 7 3 0.5 64 0.9775 0.598004830688791 1
"41" 8 3 0.6 256 0.9774 0.597966513406758 1
"42" 8 2 0.6 256 0.9752 0.597945717956886 1
"43" 7 2 0.6 1024 0.9753 0.597643345098632 1
"44" 6 3 0.6 1024 0.9773 0.597598321035781 1
"45" 7 3 0.7 256 0.9771 0.597579929289961 1
"46" 8 3 0.5 64 0.9774 0.5973476664056 1
"47" 7 2 0.6 512 0.9753 0.596888034745827 1
"48" 7 3 0.5 32 0.9775 0.596525520841085 1
"49" 7 2 0.6 64 0.9752 0.596209759323238 1
"50" 8 3 0.5 128 0.9774 0.596086861252011 1
"51" 7 2 0.6 32 0.9752 0.596032475218573 1
"52" 7 2 0.6 256 0.9753 0.595808819747628 1
"53" 7 3 0.4 128 0.9775 0.595569944480238 1
"54" 8 1 0.1 32 0.9177 0.59554393711556 1
"55" 8 3 0.6 128 0.9774 0.595426578030593 1
"56" 7 3 0.5 10000 0.9775 0.595404869236521 1
"57" 7 2 0.6 128 0.9753 0.595216365750456 1
"58" 7 3 0.7 1024 0.9771 0.595068971323072 1
"59" 7 3 0.7 128 0.9773 0.594995233278287 1
"60" 4 3 0.6 10000 0.9765 0.594933251177834 1
"61" 8 2 0.6 1024 0.9752 0.594631116328183 1
"62" 7 3 0.4 1024 0.9775 0.594588040518073 1
"63" 7 3 0.7 64 0.9773 0.594494142107518 1
"64" 6 3 0.7 10000 0.9771 0.594455455581618 1
"65" 8 3 0.4 512 0.9775 0.594119267736651 1
"66" 7 3 0.4 256 0.9775 0.594097305765962 1
"67" 6 3 0.6 128 0.9774 0.593989554335222 1
"68" 6 3 0.5 128 0.9776 0.593935596529592 1
"69" 8 3 0.7 1024 0.9771 0.593709303543456 1
"70" 8 3 0.8 512 0.9769 0.593459018162711 1
"71" 8 3 0.7 128 0.9772 0.593451306997826 1
