"MABP" "CBFV" "nu" "cost" "train.cor" "test.cor" "fold"
"1" 7 2 0.3 1024 0.9864 0.345365859792313 2
"2" 8 3 0.2 16 0.9876 0.308762864467435 2
"3" 8 3 0.2 512 0.9876 0.307704816517775 2
"4" 8 3 0.2 8 0.9875 0.307532210876346 2
"5" 8 3 0.2 256 0.9876 0.307149718986846 2
"6" 8 3 0.2 1024 0.9876 0.306085531045622 2
"7" 8 3 0.1 64 0.9875 0.305088318922222 2
"8" 8 3 0.1 1024 0.9876 0.303618527841715 2
"9" 8 3 0.2 64 0.9876 0.301628953626966 2
"10" 8 3 0.2 128 0.9876 0.301085186429217 2
"11" 4 2 0.1 10000 0.9862 0.296069502716762 2
"12" 8 3 0.1 32 0.9875 0.289999788648153 2
"13" 8 3 0.1 128 0.9875 0.288678779576107 2
"14" 8 3 0.2 32 0.9876 0.285657267361335 2
"15" 8 3 0.3 1024 0.9875 0.278642782056333 2
"16" 8 3 0.1 256 0.9876 0.277930645524365 2
"17" 8 3 0.1 512 0.9876 0.27693049566362 2
"18" 8 3 0.3 128 0.9877 0.275501824083542 2
"19" 8 3 0.3 512 0.9877 0.27337288560689 2
"20" 8 3 0.3 64 0.9877 0.27269211301448 2
"21" 8 3 0.3 256 0.9877 0.272180226275573 2
"22" 8 3 0.3 10000 0.985 0.270155808726396 1
"23" 8 3 0.2 4 0.9874 0.266991532518413 2
"24" 8 3 0.3 32 0.9877 0.263733440528773 2
"25" 8 2 0.9 10000 0.9841 0.252240022568346 1
"26" 8 2 0.8 16 0.9843 0.250517075239532 1
"27" 8 3 0.3 16 0.9877 0.250312351342228 2
"28" 8 3 0.3 8 0.9877 0.248095297463421 2
"29" 8 3 0.1 16 0.9874 0.247976702513638 2
"30" 8 3 0.9 2 0.9845 0.246571474592551 1
"31" 6 3 0.1 10000 0.9853 0.246082924593108 2
"32" 8 2 0.8 32 0.9843 0.243509942872005 1
"33" 8 2 0.8 1024 0.9843 0.242770239601515 1
"34" 8 2 0.1 1024 0.9867 0.241053884795783 2
"35" 8 2 0.9 2 0.9843 0.240955221138972 1
"36" 8 3 0.7 128 0.9855 0.240516064570784 1
"37" 8 3 0.7 32 0.9855 0.239646719341879 1
"38" 8 2 0.9 4 0.9843 0.238989139535942 1
"39" 8 3 0.8 2 0.9845 0.23851436653447 1
