"MABP" "CBFV" "nu" "cost" "train.cor" "test.cor" "fold"
"1" 8 3 0.1 10000 0.9552 0.648067205950299 2
"2" 8 3 0.6 1024 0.956 0.646424696564846 2
"3" 8 3 0.6 32 0.956 0.64586911862705 2
"4" 8 3 0.6 256 0.9559 0.645719772661009 2
"5" 8 3 0.6 64 0.956 0.645463597305309 2
"6" 8 3 0.6 128 0.9559 0.645225569841044 2
"7" 8 3 0.6 512 0.956 0.645200879722706 2
"8" 8 3 0.5 128 0.956 0.644451729918107 2
"9" 8 3 0.6 16 0.956 0.644414716523083 2
"10" 8 3 0.5 256 0.9559 0.644371010685137 2
"11" 8 3 0.5 512 0.956 0.643780125711377 2
"12" 8 3 0.5 64 0.956 0.643221798764746 2
"13" 8 2 0.8 1024 0.9464 0.643164930118977 2
"14" 8 2 0.9 1024 0.9464 0.642584576971454 2
"15" 8 3 0.5 32 0.9561 0.642584332747261 2
"16" 6 1 0.4 128 0.9309 0.642376570117947 2
"17" 6 1 0.4 256 0.9309 0.642324954024333 2
"18" 8 3 0.5 1024 0.9559 0.642225949070992 2
"19" 8 2 0.7 1024 0.9465 0.642196709023295 2
"20" 6 1 0.4 64 0.931 0.642086297282662 2
"21" 8 2 0.8 32 0.9465 0.642026850725955 2
"22" 8 2 0.7 128 0.9464 0.641991789148516 2
"23" 8 3 0.7 512 0.9559 0.641955184213402 2
"24" 6 1 0.4 512 0.931 0.641873098356528 2
"25" 8 3 0.7 1024 0.9559 0.641674810313739 2
"26" 8 3 0.4 1024 0.956 0.641460491934621 2
"27" 8 1 0.9 1024 0.9307 0.641366901413323 2
"28" 8 2 0.8 64 0.9464 0.641327092131916 2
"29" 8 2 0.8 256 0.9464 0.641302474884305 2
"30" 8 2 0.7 512 0.9465 0.641300613018816 2
"31" 8 2 0.7 16 0.9465 0.641251711336718 2
"32" 8 2 0.7 8 0.9465 0.641109110322254 2
"33" 8 2 0.8 16 0.9464 0.641097231480593 2
"34" 8 2 0.8 4 0.9465 0.640998418872939 2
"35" 8 2 0.8 8 0.9465 0.640991859721113 2
"36" 8 3 0.4 256 0.956 0.640967776789378 2
"37" 6 1 0.4 32 0.931 0.64093938022386 2
"38" 6 1 0.4 1024 0.9309 0.640853741658571 2
"39" 8 3 0.7 128 0.9559 0.640757463453209 2
"40" 8 3 0.9 512 0.9559 0.640690510463924 2
"41" 8 2 0.8 512 0.9464 0.640656891558227 2
"42" 8 3 0.5 16 0.956 0.640623909080397 2
"43" 8 2 0.9 512 0.9465 0.640615686929929 2
"44" 8 2 0.7 32 0.9465 0.640598119296122 2
"45" 8 2 0.9 256 0.9464 0.64050273914036 2
"46" 8 2 0.8 128 0.9464 0.640486779849235 2
"47" 8 2 0.7 64 0.9465 0.640470571468011 2
"48" 8 3 0.8 32 0.9559 0.640452559105682 2
"49" 8 1 0.4 64 0.9311 0.640406483383141 2
"50" 8 1 0.4 32 0.9311 0.640288769011775 2
"51" 8 3 0.4 128 0.956 0.64027652193056 2
"52" 8 2 0.7 4 0.9464 0.640261392470507 2
"53" 8 3 0.7 256 0.9559 0.640255595231784 2
"54" 8 3 0.9 64 0.956 0.640227964158837 2
"55" 8 1 0.4 8 0.931 0.640217381691271 2
"56" 6 1 0.4 16 0.9309 0.640209171168326 2
"57" 8 1 0.9 8 0.931 0.640203107480954 2
"58" 8 2 0.7 256 0.9465 0.640173443249726 2
"59" 8 3 0.9 256 0.956 0.640045986444565 2
"60" 8 2 0.9 8 0.9466 0.640045505424484 2
"61" 8 3 0.9 128 0.9559 0.64000014363603 2
"62" 8 2 0.9 128 0.9465 0.639959424517519 2
"63" 8 2 0.9 64 0.9465 0.639891600070173 2
"64" 8 2 0.9 16 0.9465 0.63977005586013 2
"65" 8 2 0.8 2 0.9463 0.639760419703774 2
"66" 8 3 0.8 64 0.9559 0.639712095742693 2
"67" 8 1 0.9 16 0.9309 0.639705756558073 2
"68" 8 1 0.9 512 0.9307 0.639704473885598 2
"69" 8 2 0.6 256 0.9467 0.639639086961123 2
"70" 8 3 0.5 8 0.9558 0.639594365476628 2
"71" 8 3 0.4 64 0.956 0.639587055656975 2
"72" 8 1 0.9 32 0.9308 0.639568393207899 2
"73" 8 1 0.9 4 0.931 0.639523902136087 2
"74" 8 1 0.4 128 0.931 0.639382340927702 2
"75" 8 2 0.9 32 0.9465 0.639379579560709 2
"76" 8 2 0.6 128 0.9467 0.639359488011024 2
"77" 8 3 0.8 16 0.9559 0.639348322491616 2
"78" 8 3 0.7 32 0.956 0.639306930654058 2
"79" 8 2 0.6 8 0.9466 0.639299316877461 2
"80" 8 1 0.4 256 0.931 0.639272891793023 2
"81" 8 1 0.9 2 0.931 0.639269493071049 2
"82" 8 3 0.8 8 0.9558 0.639246762290018 2
"83" 8 3 0.4 32 0.956 0.639221775993268 2
"84" 8 1 0.9 128 0.9308 0.639216658927341 2
"85" 8 3 0.8 128 0.9559 0.639174512238533 2
"86" 8 3 0.7 64 0.9559 0.639124856301982 2
"87" 8 2 0.9 4 0.9466 0.63910077850528 2
"88" 6 1 0.4 8 0.9309 0.639047583816021 2
"89" 8 1 0.4 4 0.931 0.639047444235823 2
"90" 8 2 0.9 10000 0.9459 0.639008803872435 2
"91" 8 2 0.6 512 0.9466 0.638937589655928 2
"92" 8 3 0.6 8 0.956 0.638897531972051 2
"93" 8 1 0.4 512 0.931 0.638891150452959 2
"94" 8 1 0.9 256 0.9308 0.638875902721373 2
"95" 6 1 0.3 1 0.9308 0.638858381034712 2
"96" 8 1 0.9 64 0.9308 0.638838764790953 2
"97" 8 3 0.8 512 0.9559 0.638777192122348 2
"98" 8 1 0.8 8 0.931 0.638669403186827 2
"99" 8 3 0.9 16 0.9559 0.638668402868093 2
"100" 8 1 0.8 32 0.931 0.638658570466752 2
"101" 8 1 0.8 1024 0.9309 0.638564228447539 2
"102" 6 1 0.4 2 0.9308 0.638564219130411 2
"103" 8 1 0.5 32 0.9311 0.638555331475363 2
"104" 8 1 0.7 1024 0.9307 0.638499478233588 2
"105" 8 3 0.9 32 0.9559 0.638464660481665 2
"106" 8 3 0.4 512 0.956 0.638454089662892 2
"107" 6 3 0.6 1024 0.9557 0.638448482526463 2
"108" 8 1 0.8 512 0.9309 0.63840006319905 2
"109" 8 2 0.6 64 0.9467 0.638365966640557 2
"110" 8 3 0.8 256 0.9559 0.638339637791189 2
"111" 8 2 0.9 2 0.9463 0.638280043221035 2
"112" 8 1 0.7 32 0.9308 0.638220460304022 2
"113" 8 3 0.4 16 0.956 0.638205689022268 2
"114" 8 2 0.6 1024 0.9466 0.638200551468567 2
"115" 8 2 0.3 32 0.9465 0.63817465791471 2
"116" 8 1 0.4 2 0.9309 0.638079905797436 2
"117" 8 1 0.7 16 0.9308 0.63805989534627 2
"118" 8 3 0.8 4 0.9556 0.638042277367656 2
"119" 8 1 0.7 64 0.9308 0.638019585140785 2
"120" 8 3 0.7 16 0.9559 0.637979890565956 2
"121" 6 1 0.4 4 0.9308 0.637944059351807 2
"122" 8 1 0.7 8 0.9308 0.637940235600443 2
"123" 8 1 0.7 4 0.9308 0.637909526957489 2
"124" 8 3 0.5 4 0.9555 0.637903001002818 2
"125" 8 1 0.8 64 0.9309 0.637897678228826 2
"126" 8 1 0.7 128 0.9307 0.637893374683266 2
"127" 8 1 0.6 64 0.9308 0.637796026101795 2
"128" 8 1 0.8 256 0.9309 0.637792924411671 2
"129" 6 3 0.6 32 0.956 0.637732819471208 2
"130" 8 2 0.7 2 0.9462 0.637710409400978 2
"131" 8 1 0.7 512 0.9307 0.637650674205847 2
"132" 8 1 0.4 16 0.9311 0.63763454813397 2
"133" 8 1 0.8 128 0.9309 0.637622603019407 2
"134" 8 1 0.6 128 0.9308 0.637619521989783 2
"135" 8 1 0.5 64 0.931 0.63761437590227 2
"136" 8 2 0.4 64 0.9466 0.637600634229659 2
"137" 8 1 0.8 16 0.9309 0.637599263045 2
"138" 8 1 0.6 256 0.9308 0.637539392253979 2
"139" 8 1 0.6 32 0.9308 0.637528094619072 2
"140" 6 1 0.4 1 0.9308 0.637516753866498 2
"141" 8 1 0.6 16 0.9309 0.637477006733038 2
"142" 8 1 0.7 256 0.9307 0.637463025354489 2
"143" 8 1 0.8 4 0.931 0.637455311965018 2
"144" 8 1 0.9 1 0.931 0.637443691722773 2
"145" 6 3 0.6 256 0.9559 0.637426136863344 2
"146" 8 1 0.4 1024 0.931 0.63742101761903 2
"147" 8 1 0.3 1024 0.931 0.637397872241765 2
"148" 8 2 0.4 128 0.9466 0.637349487683323 2
"149" 6 3 0.6 512 0.9559 0.637326911948037 2
"150" 6 3 0.6 16 0.956 0.637263716790805 2
"151" 6 3 0.6 64 0.956 0.637182049110336 2
"152" 8 1 0.7 2 0.9308 0.63711712211839 2
"153" 6 3 0.6 128 0.9559 0.63710077250326 2
"154" 6 1 0.3 2 0.9309 0.637026800502637 2
"155" 8 2 0.6 2 0.9462 0.636979735334355 2
"156" 8 1 0.3 256 0.931 0.636917348858119 2
"157" 8 3 0.9 8 0.9558 0.636874432657622 2
"158" 6 1 0.6 2 0.9308 0.636753493708203 2
"159" 6 3 0.6 8 0.956 0.636738042192344 2
"160" 8 2 0.6 16 0.9466 0.636730906368038 2
"161" 8 2 0.4 512 0.9466 0.636704726685389 2
"162" 8 1 0.6 512 0.9308 0.63670194211584 2
"163" 8 1 0.5 16 0.931 0.63669642345535 2
